index,product,category,sub_category,brand,sale_price,market_price,type,rating,description
1420,Premium Care Medium - 54 Diaper Pants,Baby Care,Diapers & Wipes,Pampers ,813.26,1099.0,Diapers,4.3,"New Pampers Premium Pants with cotton-like soft materials is best for your babys delicate skin. Pampers Premium Pants contain lotion with Aloe Vera and 3 Air Channels which helps your babys skin breathe. Experience 5 Star comfort with unique added features like Wetness Indicator which turns Yellow to Blue indication when you may change and Disposal Tape which helps you in the easy disposal of the diaper. Pampers is the No. 1 choice of Doctors for diapers. Pampers Premium Pants are available in New-born (NB), S, M, L, XL and XXL sizes."
1520,Breathable Premium Baby Diaper Pants With Wetness Indicator - Small,Baby Care,Diapers & Wipes,Mee Mee,319.2,399.0,Diapers,,"We know that nothing is more powerful than a mother's touch. No one can give your baby the kind of softness and protection you can. Inspired by mothers, Mee Mee Premium Diaper Pants use super absorbent polymers technology to make a premium quality, a breathable product that is exceptionally soft and cloth-like. Equipped with a unique Wetness Indicator, it helps you to know that it is time for a diaper change by simply turning green."
1594,Ultra Soft Premium Pants New Born - 22 Diapers,Baby Care,Diapers & Wipes,Huggies,288.23,315.0,Diapers,4.0,"Huggies understands that nothing is more important than the comfort and well-being of your little baby. Huggies Ultra Soft is our best care for the sensitive skin of your baby. Every Ultra Soft Diaper pant is clinically proven to help prevent rashes. The air-fresh material in our Ultra Soft range makes it the most breathable diapers of India. With up to 12 hours of absorption, Ultra Soft Diaper pants are perfect for your little one to sleep in comfortably all night or play in all day. The cottony softness of Ultra Soft pants ensures your baby is always wrapped in a world of comfort. It has wetness indicator that turns from yellow to blue to suggest that its time for a diaper change."
1647,Breathable Premium Baby Diaper Pants With Wetness Indicator - Medium,Baby Care,Diapers & Wipes,Mee Mee,319.2,399.0,Diapers,4.0,"We know that nothing is more powerful than a mother's touch. No one can give your baby the kind of softness and protection you can. Inspired by mothers, Mee Mee Premium Diaper Pants use super absorbent polymers technology to make a premium quality, a breathable product that is exceptionally soft and cloth-like. Equipped with a unique Wetness Indicator, it helps you to know that it is time for a diaper change by simply turning green."
1673,Premium Care XXL - 60 Diaper Pants,Baby Care,Diapers & Wipes,Pampers ,1583.28,2199.0,Diapers,4.3,"New Pampers Premium Pants with cotton-like soft materials is best for your baby’s delicate skin. Pampers Premium Pants contain lotion with Aloe Vera and 3 Air Channels which helps your baby’s skin breathe. Experience 5 Star comfort with unique added features like Wetness Indicator which turns Yellow to Blue indication when you may change and Disposal Tape which helps you in easy disposal of the diaper. Pampers is the No. 1 choice of Doctors for diapers. Pampers Premium Pants are available in New-born (NB), S, M, L, XL and XXL sizes."
1897,Premium Care Medium Monthly Box Pack - 108 Diaper Pants,Baby Care,Diapers & Wipes,Pampers ,1540.0,2199.0,Diapers,3.9,"New Pampers Premium Pants with cotton-like soft materials is best for your babys delicate skin. Pampers Premium Pants contain lotion with Aloe Vera and 3 Air Channels which helps your babys skin breathe. Experience 5 Star comfort with unique added features like Wetness Indicator which turns Yellow to Blue indication when you may change and Disposal Tape which helps you in the easy disposal of the diaper. Pampers is the No. 1 choice of Doctors for diapers. Pampers Premium Pants are available in New-born (NB), S, M, L, XL and XXL sizes."
1942,"Reusable Fabic Diaper - Large, Pink",Baby Care,Diapers & Wipes,Paw Paw,269.0,269.0,Diapers,2.7,"India's no.1 reusable diaper, Paw Paw Fabric Diaper is highly absorbant, less susceptible to skin rashes & skin allergies, unlike disposable diapers. The reusable diaper is an eco-friendly diapering option that helps to reduce disposable waste in our landfills. It has a reusable printed outer shell and super-absorbent reusable insert pad. It is very gentle for your little one's skin."
1944,New Dry Small - 36 Diapers,Baby Care,Diapers & Wipes,Huggies,430.05,470.0,Diapers,3.9,"One of the most important baby care products that you will buy for your baby is diapers. Whether it is for your newborn or for your toddler who is yet to go to the bathroom by himself or herself, diapers are the product that can make your first year of parenting easy or tough. If you have thought of not using diapers, just consider the consequences. Cloth diapers not only have to be changed more often, but they have to be washed and sanitised every single time. Also, if the fabric is not smooth enough, it will constantly rub against the skin of your baby which may lead to scratches or redness. To spare your baby and yourself all this trouble, switch to diapers, especially these ones from Huggies. Choose Huggies dry diapers for your child and you will both sleep soundly through the night. Whether it is playtime, nap time or bedtime, these diapers are okay for any activities that you have planned for your baby. The magic gel formula will pull in any wetness instantly and keeps the bottom of your child dry. The absorbent core locks in all the fluid after distributing it evenly. These diapers are highly absorbent and keep your baby relaxed and dry, even when he or she is crawling and on the move. The double leak guard prevents leakage along the sides, keeping both the baby and your floors clean. Huggies dry diapers come with wear any side snug fit, giving you the freedom to make your baby wear his or her diaper any way you want."
1981,New Dry Large Box Packs,Baby Care,Diapers & Wipes,Pampers ,1655.28,2299.0,Diapers,4.2,"Pampers dry, pants style diapers are the only pants in India with new air channels that provide your baby with breathable dryness overnight. It contains a magic gel that locks wetness away for up to 12 hours and the new and improved design enables a comfortable fit, closer to the baby's body. The diaper pants have a flexible waistband that adapts to the baby's movements for a comfortable fit, while the baby lotion with aloe vera helps protect your baby's delicate skin from diaper rash and irritation. The diaper pants top layer is made of a cotton-like soft material, for a comfortable night sleep, while the exterior has fun graphics, designs and characters on it."
2038,Baby Happy Xtra Large - 46 Diapers,Baby Care,Diapers & Wipes,Bella,833.0,859.0,Diapers,5.0,"Bella Baby Happy is the European brand of premium Baby diapers, IMPORTED FROM EUROPE. Happy diapers are featured with cutting - edge DIAPER RASH FREE SYSTEM - a complex of unique features that keep your Baby's skin healthy. Happy diapers prevent the appearance of rashes irritations, allergies and reddening. AIR CIRCULATION - special outer cover allows full air circulation that keeps the right temperature inside a diaper, lets the vapour go through and keeps your Baby's skin dry, fresh and healthy. GREEN TEA EXTRACT - green tea extract has antibacterial & anti-inflammatory properties and it neutralizes the unpleasant smell. SKIN FRIENDLY TECHNOLOGY - latex and chlorine-free components minimise the risk of rashes and allergic reactions. MAGIC GEL - magic pearls transform the liquid into gel and isolate wetness from Baby's bottom. Fast absorption effectively protects against leakages and ensures maximum dryness. Gentle gathers on both sides of a diaper hold the moisture inside and prevent leakages. Elastic tapes guarantee freedom of movement with no pressure on Baby's delicate skin. Symmetrical pictures in front of a diaper enable proper fastening."
2040,Total Care Baby Pants Diapers - S,Baby Care,Diapers & Wipes,Himalaya,1000.0,1000.0,Diapers,5.0,Powered by natural anti-rash shield: Indian Aloe and Yashad Bhasma (Zinc Oxide) (that prevent the risk of diaper rash) Soft easy-to-fit design offer care and comfort to your baby. silky soft inner layer for soft & sensitive skin Breathable fabric ensures proper air circulation and leakproof soft elastic edges prevent leakage. Superabsorbent polymer (SAP) layer: Rapidly absorbs multiple wettings and provides maximum protection from dampness. Wetness indicator: Turns green to show when the baby wets the diaper. Keeps skin dry so that baby gets an undisturbed and restful sleep.
2376,"Nature Care Diaper Pants - Large, Monthly Pack",Baby Care,Diapers & Wipes,Huggies,2183.09,2399.0,Diapers,,"Nature's gentle protection for your baby's delicate skin. Presenting the new Huggies Nature Care Diaper Pants. Made with organic cotton and a pH balanced liner, it's the ideal pant-style diaper for your little one's delicate skin. With no added parabens, latex & chlorine it gently protects your baby's skin. It's more than a diaper pant, it's a hug from Nature. Made with organic cotton and a pH balanced liner with no added parabens, latex & chlorine with the wetness indicator."
2476,"Total Care Baby Pants - Small, 9S",Baby Care,Diapers & Wipes,Himalaya,125.0,125.0,Diapers,3.7,"Powered by a natural anti-rash shield, Indian Aloe and Yashad Bhasma (Zinc Oxide, that prevents the risk of diaper rash), it is soft and has an easy-to-fit design. It offers care and comfort to your baby; silky soft inner layer for soft & sensitive skin.Breathable fabric ensures proper air circulation and leakproof soft elastic edges prevent leakage. Super Absorbent Polymer (SAP) layer rapidly absorbs multiple wettings and provides maximum protection from dampness. Wetness indicator turns green to show when baby wets the diaper keeps skin dry so that baby gets an undisturbed and restful sleep."
2580,New Dry Diapers - Small Size,Baby Care,Diapers & Wipes,Huggies,705.0,940.0,Diapers,2.5,One of the most important baby care products that you buy for your baby is diapers. A good quality diaper can help keep your baby comfortable during play as well as sleep time. Choose Huggies New Dry Diapers – these diapers are highly absorbent and help in keeping your baby’s skin dry & fresh. These diapers are suitable for your baby’s skin to ensure uninterrupted play and nap time. Huggies New Dry is available in different sizes from Small to Large to suit your baby.
2684,Total Care Large - 54 Diaper Pants,Baby Care,Diapers & Wipes,Himalaya Baby,823.0,875.0,Diapers,4.0,"Your baby requires the utmost care. Himalaya Total Care Baby Pants is a one-step diaper solution specially designed for comfort, protection and total care of baby's skin. Himalaya Total Care Baby Pants comes in an easy to wear pant style design that offers a soft and comfortable fit & are easy to pull on and off. Enriched with the goodness of Aloe vera and Yashada bhasma, Himalaya Total Care Baby Pants offers a protective anti-rash shield that reduces the activity of harmful enzymes and prevents diaper rash."
2761,Nature Care Diaper Pants - Small Size,Baby Care,Diapers & Wipes,Huggies,363.09,399.0,Diapers,5.0,"Nature's gentle protection for your baby's delicate skin. Presenting the new Huggies Nature Care Diaper Pants. Made with organic cotton and a pH balanced liner, it's the ideal pant-style diaper for your little one's delicate skin. With no added parabens, latex & chlorine it gently protects your baby's skin. It's more than a diaper pant, it's a hug from Nature. Made with organic cotton and a pH balanced liner with no added parabens, latex & chlorine with the wetness indicator."
2816,"Pants - Extra Absorb Diaper, Medium Size",Baby Care,Diapers & Wipes,Mamypoko,975.0,1499.0,Diapers,4.3,"MamyPoko Pants Extra Absorb Diapers with crisscross absorbent sheet absorbs 7 glasses of urine and spreads it equally, so there is no fear of heaviness. Its stretchable thigh support prevents gaps between diaper and baby's thigh, hence prevents leakage."
3055,Kare in Adult Diapers Medium,Baby Care,Diapers & Wipes,Kare In,327.25,385.0,Diapers,4.1,"Kare In adult diaper have been designed with your comfort in mind. The Kare In adult diaper has a super soft inner cotton padding that feels comfortable like cloth and its re-fastenable tapes can be adjusted for a comfortable fit. The Kare In adult diaper has a super absorbent gel core that keeps you feel dry and fresh for hours, without having to worry about incontinence. Its time to step out of those embarrassing moments, regain your confidence and experience the joy of being free again."
3291,"Wonder Diaper Pants - Small, 4-8 Kg",Baby Care,Diapers & Wipes,Huggies,1266.38,1398.0,Diapers,3.9,"Huggies knows that nothing is more important than the comfort and well-being of your little baby. Choosing the best diaper for your baby is an important step in ensuring the comfort of your little one during the day as well as overnight. That is why we have lovingly designed Huggies Wonder Pants for the all-round comfort of your little one. These diaper pants keep your baby comfortable in the day and help them sleep peacefully at night without any wetness irritating their skin. Their cottony-soft material is gentle on their bum keeping their precious skin perfect. And their revolutionary Dry Touch Sheet pulls the wetness away from the skin of your baby keeping it dry and hygienic for up to 12 hours. If you are looking for safe and gentle care for your little one, stock up your diaper bags and changing tables with Huggies Wonder Pants."
3306,Premium Soft Diaper Pants - Large Size,Baby Care,Diapers & Wipes,Huggies,718.92,798.0,Diapers,,"Our softest for your softest. Introducing the Premium Soft Pants with the breakthrough Silky Cocoon design from Huggies. Its Cushion Waistband ensures a gentle, comfortable fit that helps prevent red marks and Silken Outer Cover Provides luxurious, silky softness. Your baby spends a good part of their day in a diaper. Therefore, choosing the right diaper for their tender and delicate skin is extremely important. And this is where, Huggies introduce the next generation product, India’s 1st diaper pants with the unique Bubble-Bed technology. This is so soft & fluffy that it feels like a bed against your baby’s bottom, keeping it extremely comfortable. Moreover, it absorbs the wetness and spreads it out evenly, keeping your little one's bottom dry."
3422,New Xtra Small - 86 Diaper Pants,Baby Care,Diapers & Wipes,Pampers ,813.26,1099.0,Diapers,3.3,"Pampers baby-dry pants style diapers are the only pants in India with new Air Channels providing your baby with a new type of dryness overnight; breathable dryness. Magic Gel that locks wetness away for up to 12 hours of dryness. The new & improved product design enables a comfortable fit, closer to the body of the baby. A flexible waistband that adapts to babys movements for a comfortable fit. Baby lotion with Aloe Vera helps protect the delicate skin of the baby from diaper rash and irritation. A top layer with a cotton-like soft material, for a comfortable nights sleep. Fun exterior graphics; fun designs & characters to enjoy with your baby."
3499,Dry Pants Diapers - Medium,Baby Care,Diapers & Wipes,Huggies,182.09,199.0,Diapers,3.7,"Your baby spends a good part of their day in a diaper. Therefore, choosing the right diaper for their tender and delicate skin is extremely important. And this is where, we introduce our next-generation product, India’s 1st diaper pants with the unique Bubble-Bed technology. There are 3 areas where a diaper surrounds the baby’s skin, the baby’s bottom, the baby’s waist, and the baby’s thigh. The skin of the baby in all these areas is extremely delicate and sensitive. The next generation Bubble wala Huggies has 3 unique features which provide our best care & comfort in all these 3 areas.This next-generation diaper pant is lined with the super-soft 3-D Bubble-Bed in the inside layer of the diaper. This is so soft & fluffy that it feels like a bed against your baby’s bottom, keeping it extremely comfortable. Moreover, it absorbs the wetness and spreads it out evenly, keeping your little one's bottom dry."
3520,Premium Care Small - 140 Diaper Pants,Baby Care,Diapers & Wipes,Pampers ,2199.0,2199.0,Diapers,4.5,"New Pampers Premium Pants with cotton-like soft materials is best for your baby’s delicate skin. Pampers Premium Pants contain lotion with Aloe Vera and 3 Air Channels which helps your baby’s skin breathe. Experience 5 Star comfort with unique added features like Wetness Indicator which turns Yellow to Blue indication when you may change and Disposal Tape which helps you in easy disposal of the diaper. Pampers is the No. 1 choice of Doctors for diapers. Pampers Premium Pants are available in New-born (NB), S, M, L, XL and XXL sizes."
3620,Baby Happy Wet Wipes - Silk & Cotton,Baby Care,Diapers & Wipes,Bella,189.0,189.0,Baby Wipes,,"Bella Baby Happy is the European brand of premium Baby products. Bella Baby Happy Wet Wipes with Silk and Cotton extracts moisturise and protect the skin, soothe irritations. Neutral pH leaves natural protective skin barrier intact. Recommended for babies and children daily hygiene. Enriched with natural proteins of silk that cleanse and moisturise babys skin. Enriched with extract of cotton that protects the skin and soothes irritation. Bella Baby Happy wet wipes have a neutral 5.5 pH, so the natural protective barrier of the skin remains intact. Can be used on the babys or childs whole body. Do not contain soap, Parabens - free, Alcohol - free. Ensure delicate and effective cleansing. IMPORTED FROM EUROPE."
3740,Gentle Baby Wipes - (SSC) IND Offer,Baby Care,Diapers & Wipes,Himalaya,350.0,350.0,Baby Wipes,4.5,"Gentle baby wipes from Himalaya are simple and easy to use. Infused with the goodness of Aloe Vera and Indian Lotus extracts, Gentle Baby Wipes are mild enough to soothe baby's bottoms during a diaper change. The wipes can also be used to gently cleanse baby's skin. The natural ingredients ensure that the baby remains bacteria-free throughout the day. Ideal for use when travelling."
3797,Easy Adult Diaper - Medium,Baby Care,Diapers & Wipes,Friends,430.0,500.0,Diapers,2.5,Friends Easy Adult Diapers provide up to 8 hrs of protection. It has a high absorbency rate and comes with a Wetness Indicator.
3855,Reusable Diaper Insert Pads,Baby Care,Diapers & Wipes,Paw Paw,159.0,159.0,Diapers,2.8,"India's no.1 reusable diaper, Paw Paw Fabric Diaper is highly absorbant, less susceptible to skin rashes & skin allergies, unlike disposable diapers. The reusable diaper is an eco-friendly diapering option that helps to reduce disposable waste in our landfills. With a unique rapisoak technology, this diaper has fine stitching which is tough to break and no colouring agent is used. Its feathery soft touch is perfect for your little one's skin."
3907,Baby Happy Diapers - Before Newborn,Baby Care,Diapers & Wipes,Bella,920.0,920.0,Diapers,,"Early Care System – newborns and infants require especially gentle care, that’s why Early Care System consists of qualities most vital for them – softness, gentleness and avoiding rushes and irritations to the sensitive skin. Specially embossed inner non-woven material provides quick absorption, and its gentle, soft structure tucks in the sensitive skin of the littlest ones. Along with soft outer layer makes the diaper feel like the softest underwear. The breathable outer layer protects against irritations and wetness indicator lets the parents decide when to change the diaper. Airflow Technology - Breathability of the diaper provides access to the fresh air to the baby's skin, prevents diaper rash and minimizes the risk of irritation. Premium Dry - Special embossed non-woven speeds-up the absorption and increases the feeling of the dryness. Extra Softcover - Super soft external layer of the diaper provides a feeling of exceptional softness and comfort. Wetness Indicator - To ensure that your baby will always have dry skin - there is a wetness indicator, which clearly (by colour change) shows to the parents that the diaper needs to be changed. 0% perfume – Happy diapers do not have any synthetic fragrances. 0% chlorine – do not contain raw material bleached with elemental chlorine, 0% latex – do not contain latex elements which may cause irritations in people sensitive to this material. Happy diapers are dermatologically tested, they also have a positive opinion from the Mother and Child Institute of Poland and a positive opinion from the Polish National Insitute of Hygiene."
4201,New Small - 86 Diaper Pants,Baby Care,Diapers & Wipes,Pampers ,713.0,1149.0,Diapers,4.1,"Pampers baby-dry pants style diapers are the only pants in India with new Air Channels providing your baby with a new type of dryness overnight; breathable dryness. Magic Gel that locks wetness away for up to 12 hours of dryness. The new & improved product design enables a comfortable fit, closer to the baby's body. The flexible waistband that adapts to baby's movements for a comfortable fit. Baby lotion with Aloe Vera helps protect your baby's delicate skin from diaper rash and irritation. A top layer with a cotton-like soft material, for a comfortable nights sleep. Fun exterior graphics, fun designs & characters to enjoy with your baby."
4216,Pampers Pants Diapers - Medium Size 80pcs + Sebamed Baby Wash - Extra Soft 400ml,Baby Care,Diapers & Wipes,bb Combo,1778.0,1778.0,Diapers,,"Indias Driest Pants- Let your babys skin be dry and breathe easy with the airy, soft comfort offered by the Pampers Pants. While other ordinary pants seem dry from outside, Pampers Pants with Magic gel and larger absorbency zone keeps your baby dry from the inside for up to 12 hours. This diaper is infused with baby lotion, which moisturizes and nourishes your babys skin and protects it from diaper rash, roughness and irritation. With an outer layer of cotton-like softness, this baby diaper provides intense care to your babys sensitive skin and protects it effectively from friction rash and redness. Featuring pant style design, these Pamper diapers are easy to put on your baby and change, which comes as a great help to mothers. Offering complete care and protection, these baby pants will help keep your baby smiling and comfortable at all times. Your baby will laugh and play in comfort of wearing Pampers pants.   Sebamed baby wash extra soft has pH of 5. 5 and has sugar based mild cleanser. Other cleansers for baby have pH>7 which leads to barrier damage. When baby is born, skin pH is 7. The acid mantle which protects the babys delicate skin takes a few weeks to 3 months to develop, the pH of skin then becomes 5. 5. At pH 5. 5 alone the skins protective barrier remains intact. It has been clinically proven that only at pH 5. 5, the lipid and moisture loss is minimum and the growth of pathogenic bacteria is restricted. Sebamed baby wash extra soft is fortified with lipids similar to vernix (same as in mothers womb) to protect and hydrate the babys skin. Sebamed baby wash extra soft is free from irritants and hence has 0% incidences of irritant reactions. Sebamed baby wash extra soft contains botanical ingredient, hence the reported incidence of allergic reaction is 0. 000003%. Only at pH 5. 5 the babys delicate eyes are not irritated and the tear free formula is free from formaldehyde."
4329,Baby Happy Tissues,Baby Care,Diapers & Wipes,Bella,144.0,150.0,Baby Wipes,5.0,Bella No1 is the European brand of premium quality tissue and paper products manufactured according to the highest standards to ensure the best quality and unusual softness.
4468,Baby Happy Pants - Extra Large,Baby Care,Diapers & Wipes,Bella,649.0,649.0,Diapers,3.0,"Bella Baby Happy is the European brand of premium Baby products created with love for the little ones and introduced in India to ensure the highest comfort of care, so Mom and Baby can cherish the unforgettable moments of happiness together. Baby pants imported from Russia. Airflow technology allows free air circulation to protect from skin irritations and rashes. A quick and simple way of putting the diaper on. Fast absorption and a great feeling of dryness. Easy and hassle-free diaper changing. Underwear like. Safety confirmed by dermatologists (no perfume, no chlorine, no latex)."
4528,New Xtra Large - 5 Diaper Pants,Baby Care,Diapers & Wipes,Pampers ,102.9,105.0,Diapers,3.8,"Pampers baby diaper pants are the only pants in India with new air channels providing your baby with a new type of dryness overnight; breathable dryness. Magic Gel that locks the wetness away for up to 12 hours of dryness. The new and improved product design enables a comfortable fit, closer to the baby's body. A flexible waistband that adapts to the baby's movements for a comfortable fit. Baby lotion with aloe vera helps protect your baby's delicate skin from diaper rash and irritation. A top layer with the cotton-like soft material, for a comfortable nights sleep. Fun exterior graphics; fun designs and characters to enjoy with your baby."
4604,Wonder Pants Small - 126 Diapers,Baby Care,Diapers & Wipes,Huggies,1371.59,1499.0,Diapers,3.9,"Nothing can be more important than the comfort & well-being of your baby. Our flagship diaper pants, Huggies Wonder Pants, have been carefully designed to protect your precious bundle of joy. Cushiony Cotton Soft Material all round keeps your baby’s precious skin perfect. Outstanding absorption up to 12 hours wraps your baby in a world of comfort. Advanced Dry Touch Sheet keeps your baby dry all night long."
4682,Ultra Soft Premium Pants Small - 50 Diaper Pants,Baby Care,Diapers & Wipes,Huggies,704.55,770.0,Diapers,4.0,"Huggies understands that nothing is more important than the comfort and well-being of your little baby. Huggies Ultra Soft is our best care for the sensitive skin of your baby. Every Ultra Soft Diaper pant is clinically proven to help prevent rashes. The air-fresh material in our ultra-soft range makes it the most breathable diapers In India. With up to 12 hours of absorption, Ultra Soft Diaper pants are perfect for your little one to sleep in comfort all night or play in all day. The cottony softness of ultra-soft pants ensures your baby is always wrapped in a world of comfort. It has a wetness indicator that turns from yellow to blue to suggest that its time for a diaper change."
4726,Wonder Pants Medium Size Diapers Monthly Pack,Baby Care,Diapers & Wipes,Huggies,1401.87,2199.0,Diapers,3.1,"Nothing can be more important than the comfort & well-being of your baby. Our flagship diaper pants, Huggies Wonder Pants, have been carefully designed to protect your precious bundle of joy. Cushiony cotton soft material all round keeps your baby’s precious skin perfect. Outstanding absorption up to 12 hours wraps your baby in a world of comfort. Advanced dry touch sheet keeps your baby dry all night long. Cushiony cotton soft material all round keeps your baby's precious skin perfect"
4786,Diaper Pants - New Baby,Baby Care,Diapers & Wipes,Pampers ,552.21,699.0,Diapers,3.8,"Pampers baby-dry pants style diapers are the only pants in India with new Air Channels providing your baby with a new type of dryness overnight; breathable dryness. Magic Gel that locks wetness away for up to 12 hours of dryness. The new and improved product design enables a comfortable fit, closer to the body of the baby. A flexible waistband that adapts to baby's movements for a comfortable fit. Baby lotion with Aloe Vera helps protect the delicate skin of the baby from diaper rash and irritation. A top layer with a cotton-like soft material, for a comfortable nights sleep. Fun exterior graphics; fun designs & characters to enjoy with your baby."
5055,Baby Diapers & Sanitary Disposal Bag,Baby Care,Diapers & Wipes,Bodyguard,95.04,99.0,Diapers,4.6,"Now Bigger & Better! Worried about disposing of your Sanitary & Intimate Products? Made in India, 'I Love Clean' by BodyGuard are Cute Oxo BioDegradable Disposable Sanitary Bags & are best for Hygienic Disposal of Intimate Care Products (Sanitary Pads, Tampons, Panty Liners, Baby Diapers, Condoms, PeeBuddy) or General products (which need discreet disposal). No More Black Plastic Bags, No More Newspaper. Now use I Love Clean."
5177,Wonder Pants Small Size Diapers Monthly Pack,Baby Care,Diapers & Wipes,Huggies,1910.09,2099.0,Diapers,3.3,"Nothing can be more important than the comfort & well-being of your baby. Our flagship diaper pants, Huggies Wonder Pants, have been carefully designed to protect your precious bundle of joy. Cushiony cotton soft material all round keeps your baby’s precious skin perfect. Outstanding absorption up to 12 hours wraps your baby in a world of comfort. Advanced dry touch sheet keeps your baby dry all night long. Cushiony cotton soft material all round keeps your baby's precious skin perfect"
5278,"Pants - Extra Absorb Diaper, Small Size",Baby Care,Diapers & Wipes,Mamypoko,99.0,99.0,Diapers,4.0,"MamyPoko Pants Extra Absorb is a Pant Style diaper that can be used most comfortably for the baby at night because of the powerful slim core that can absorb up to 12 hours, it prevents leakage till morning. Therefore, your baby can sleep soundly all night and wake up with a big smile in the morning."
